Temp,Year,Rain
8.77,1962,2.0
9.55,1986,1.45
9.68,1999,1.32
9.94,2009,1.56
10.27,1966,1.71
10.29,2007,2.6
10.34,1957,1.66
11.24,2014,1.76
12.33,1972,1.67
12.54,2006,2.5
12.69,1983,2.0
13.37,1982,2.0
13.81,2017,2.0
13.94,1998,3.06
14.78,1965,3.23
14.83,1970,3.02
15.04,1964,1.96
15.06,1988,3.0
15.42,1968,1.57
15.77,1978,2.23
16.04,1996,2.24
16.29,1973,3.71
16.31,1992,2.0
16.93,1993,3.07
16.97,1974,3.5
16.99,1956,1.01
17.46,1997,2.54
17.78,1990,3.27
17.81,1981,2.34
17.92,1976,4.08
18.04,2005,3.0
18.29,2001,3.0
18.35,1987,2.5
18.43,1969,3.0
18.69,1994,2.31
19.49,2011,3.51
19.65,1985,3.0
19.82,1980,3.18
20.29,1977,2.75
20.29,2016,3.21
20.65,1975,3.35
20.69,1989,2.45
21.01,1958,3.5
21.58,1971,3.92
21.7,1984,4.3
22.23,2002,5.0
23.68,1959,3.31
24.06,1991,3.6
24.59,1960,3.61
25.29,1961,4.71
25.56,2010,4.34
26.41,2013,1.5
26.88,1963,3.12
28.55,2004,2.05
30.4,2000,5.6
31.27,1995,5.0
32.4,2003,6.0
34.81,2008,5.2
35.26,1967,5.0
38.01,2012,3.0
39.42,1979,7.58
48.27,2015,6.73
